"city";"country";"nbArtists"
"rio de janeiro";"brazil";"47"
"los angeles";"united states";"44"
"berlin";"germany";"35"
"chicago";"united states";"34"
"brooklyn";"united states";"29"
"toronto";"canada";"24"
"london";"united kingdom";"24"
"philadelphia";"united states";"24"
"new orleans";"united states";"22"
"hamburg";"germany";"20"
"detroit";"united states";"20"
"the bronx";"united states";"19"
"atlanta";"united states";"19"
"houston";"united states";"17"
"paris";"france";"16"
"memphis";"united states";"14"
"boston";"united states";"14"
"montreal";"canada";"13"
"stockholm";"sweden";"13"
"são paulo";"brazil";"13"
"san francisco";"united states";"12"
"harlem";"united states";"11"
"dallas";"united states";"10"
"cleveland";"united states";"10"
"fort worth";"united states";"10"
"nashville";"united states";"10"
"seattle";"united states";"10"
"newark";"united states";"9"
"kansas city";"united states";"9"
"helsinki";"finland";"9"
"cologne";"germany";"9"
"manhattan";"united states";"8"
"liverpool";"united kingdom";"8"
"winnipeg";"canada";"7"
"glasgow";"united kingdom";"7"
"salvador";"brazil";"7"
"new york";"united states";"7"
"miami";"united states";"7"
"pittsburgh";"united states";"7"
"rome";"italy";"7"
"sydney";"australia";"6"
"compton";"united states";"6"
"st. louis";"united states";"6"
"melbourne";"australia";"6"
"london";"united states";"6"
"tulsa";"united states";"6"
"jacksonville";"united states";"6"
"columbus";"united states";"5"
"clarksdale";"united states";"5"
"gary";"united states";"5"
"jackson";"united states";"5"
"akron";"united states";"5"
"san antonio";"united states";"5"
"birmingham";"united states";"5"
"baltimore";"united states";"5"
"buenos aires";"argentina";"5"
"kingston";"jamaica";"5"
"bristol";"united kingdom";"5"
"munich";"germany";"5"
"edinburgh";"united kingdom";"5"
"richmond";"united states";"5"
"hamilton";"canada";"5"
"buffalo";"united states";"4"
"cincinnati";"united states";"4"
"milwaukee";"united states";"4"
"gothenburg";"sweden";"4"
"honolulu";"united states";"4"
"indianapolis";"united states";"4"
"düsseldorf";"germany";"4"
"porto alegre";"brazil";"4"
"chapel hill";"united states";"4"
"louisville";"united states";"4"
"madrid";"spain";"4"
"hammersmith";"united kingdom";"4"
"halifax";"canada";"4"
"louisiana";"united states";"4"
"ottawa";"canada";"4"
"oakland";"united states";"4"
"omaha";"united states";"4"
"phoenix";"united states";"4"
"queens";"united states";"4"
"austin";"united states";"4"
"newton";"united states";"4"
"long beach";"united states";"4"
"brownsville";"united states";"4"
"birmingham";"united kingdom";"4"
"albany";"united states";"3"
"leipzig";"germany";"3"
"dayton";"united states";"3"
"santa monica";"united states";"3"
"reading";"united kingdom";"3"
"münster";"germany";"3"
"lafayette";"united states";"3"
"gelsenkirchen";"germany";"3"
"bergen";"norway";"3"
"stuttgart";"germany";"3"
"oklahoma city";"united states";"3"
"hollywood";"united states";"3"
"beckenham";"united kingdom";"3"
"astoria";"united states";"3"
"staten island";"united states";"3"
"newport news";"united states";"3"
"holly springs";"united states";"3"
"wimbledon";"united kingdom";"3"
"dublin";"ireland";"3"
"minneapolis";"united states";"3"
"bridgeport";"united states";"3"
"muskegon";"united states";"3"
"milan";"italy";"3"
"springfield";"united states";"3"
"denver";"united states";"3"
"san jose";"united states";"3"
"bloomington";"united states";"3"
"essen";"germany";"3"
"henderson";"united states";"3"
"sacramento";"united states";"3"
"regina";"canada";"3"
"berkeley";"united states";"3"
"tottenham";"united kingdom";"3"
"coventry";"united kingdom";"3"
"hackney";"united kingdom";"3"
"kingston upon thames";"united kingdom";"3"
"montgomery";"united states";"3"
"szczecin";"germany";"3"
"canton";"united states";"3"
"glendale";"united states";"3"
"wien";"austria";"3"
"marshall";"united states";"3"
"blackpool";"united kingdom";"3"
"brazil";"brazil";"3"
"santa barbara";"united states";"3"
"new haven";"united states";"3"
"welwyn garden city";"united kingdom";"3"
"vancouver";"canada";"3"
"heidelberg";"germany";"3"
"bradford";"united kingdom";"3"
"southampton";"united kingdom";"3"
"florida";"united states";"3"
"chiswick";"united kingdom";"3"
"hanover";"germany";"3"
"salinas";"united states";"3"
"jamestown";"united states";"3"
"kinshasa";"france";"3"
"shreveport";"united states";"3"
"windsor";"canada";"3"
"sheffield";"united kingdom";"3"
"vermont";"united states";"2"
"mississauga";"canada";"2"
"grenoble";"france";"2"
"yonkers";"united states";"2"
"el monte";"united states";"2"
"camberwell";"united kingdom";"2"
"minato";"japan";"2"
"malibu";"united states";"2"
"derry";"united kingdom";"2"
"rosario";"argentina";"2"
"bray";"ireland";"2"
"norfolk";"united states";"2"
"nacka";"sweden";"2"
"toccoa";"united states";"2"
"st. catharines";"canada";"2"
