"city";"country";"nbArtists";"latitude";"longitude"
"rio de janeiro";"brazil";"47";"-22.90642";"-43.18223"
"los angeles";"united states";"45";"34.05223";"-118.24368"
"berlin";"germany";"35";"52.52437";"13.41053"
"london";"united kingdom";"35";"51.50853";"-0.12574"
"chicago";"united states";"34";"41.85003";"-87.65005"
"brooklyn";"united states";"30";"41.43977";"-81.73541"
"philadelphia";"united states";"25";"32.77152";"-89.11673"
"toronto";"canada";"25";"43.70011";"-79.4163"
"new orleans";"united states";"23";"29.95465";"-90.07507"
"hamburg";"germany";"20";"53.55073";"9.99302"
"atlanta";"united states";"19";"45.00473";"-84.14389"
"houston";"united states";"17";"33.89845";"-88.99923"
"montreal";"canada";"16";"45.50884";"-73.58781"
"memphis";"united states";"15";"34.72478";"-100.53401"
"boston";"united states";"14";"42.62895";"-78.73753"
"são paulo";"brazil";"13";"-23.5475";"-46.63611"
"stockholm";"sweden";"13";"59.32938";"18.06871"
"san francisco";"united states";"12";"37.77493";"-122.41942"
"nashville";"united states";"11";"36.16589";"-86.78444"
"harlem";"united states";"11";"33.41458";"-82.31262"
"seattle";"united states";"10";"47.60621";"-122.33207"
"cleveland";"united states";"10";"26.96173";"-81.98398"
"dallas";"united states";"10";"44.91928";"-123.31705"
"helsinki";"finland";"10";"60.16952";"24.93545"
"fort worth";"united states";"10";"32.72541";"-97.32085"
"birmingham";"united kingdom";"9";"52.48142";"-1.89983"
"newark";"united states";"9";"43.04673";"-77.09525"
"kansas city";"united states";"9";"39.09973";"-94.57857"
"liverpool";"united kingdom";"8";"53.41058";"-2.97794"
"hamilton";"canada";"8";"43.25011";"-79.84963"
"rome";"italy";"8";"41.89193";"12.51133"
"pittsburgh";"united states";"7";"40.44062";"-79.99589"
"salvador";"brazil";"7";"-12.97563";"-38.49096"
"st. louis";"united states";"7";"38.62727";"-90.19789"
"melbourne";"australia";"7";"-37.814";"144.96332"
"winnipeg";"canada";"7";"49.8844";"-97.14704"
"miami";"united states";"7";"35.69143";"-100.63819"
"sydney";"australia";"7";"-33.86785";"151.20732"
"glasgow";"united kingdom";"7";"55.86515";"-4.25763"
"kingston";"jamaica";"6";"17.99702";"-76.79358"
"compton";"united states";"6";"33.89585";"-118.22007"
"buenos aires";"argentina";"6";"-34.61315";"-58.37723"
"tulsa";"united states";"6";"36.15398";"-95.99277"
"jacksonville";"united states";"6";"34.8662";"-92.11015"
"baltimore";"united states";"5";"39.29038";"-76.61219"
"munich";"germany";"5";"48.13743";"11.57549"
"cairo";"egypt";"5";"30.06263";"31.24967"
"bristol";"united kingdom";"5";"51.45523";"-2.59665"
"edinburgh";"united kingdom";"5";"55.95206";"-3.19648"
"queens";"united states";"5";"40.68149";"-73.83652"
"akron";"united states";"5";"40.16054";"-103.21438"
"omaha";"united states";"5";"41.25626";"-95.94043"
"jackson";"united states";"5";"37.38227";"-89.66621"
"long beach";"united states";"5";"38.46096";"-76.46884"
"gary";"united states";"5";"41.59337";"-87.34643"
"madrid";"spain";"5";"40.4165";"-3.70256"
"clarksdale";"united states";"5";"34.20011";"-90.57093"
"leipzig";"germany";"5";"51.33962";"12.37129"
"san antonio";"united states";"5";"28.33611";"-82.27453"
"columbus";"united states";"5";"29.70662";"-96.53969"
"richmond";"united states";"5";"37.93576";"-122.34775"
"halifax";"canada";"4";"44.64269";"-63.57688"
"brownsville";"united states";"4";"25.82176";"-80.24116"
"milwaukee";"united states";"4";"43.0389";"-87.90647"
"reading";"united kingdom";"4";"51.45625";"-0.97113"
"honolulu";"united states";"4";"21.30694";"-157.85833"
"newton";"united states";"4";"41.69971";"-93.04798"
"hammersmith";"united kingdom";"4";"51.49384";"-0.22882"
"phoenix";"united states";"4";"41.61115";"-87.63477"
"indianapolis";"united states";"4";"39.76838";"-86.15804"
"düsseldorf";"germany";"4";"51.22172";"6.77616"
"beckenham";"united kingdom";"4";"51.40878";"-0.02526"
"dayton";"united states";"4";"40.37261";"-74.51015"
"porto alegre";"brazil";"4";"-30.03283";"-51.23019"
"welwyn garden city";"united kingdom";"4";"51.80174";"-0.20691"
"dublin";"ireland";"4";"53.33306";"-6.24889"
"austin";"united states";"4";"30.26715";"-97.74306"
"louisiana";"united states";"4";"39.44894";"-91.05153"
"windsor";"united states";"4";"39.44087";"-88.59478"
"heidelberg";"germany";"4";"49.40768";"8.69079"
"chapel hill";"united states";"4";"35.62646";"-86.69333"
"buffalo";"united states";"4";"31.46379";"-96.05802"
"ottawa";"canada";"4";"45.41117";"-75.69812"
"louisville";"united states";"4";"40.99778";"-96.16224"
"oakland";"united states";"4";"44.54034";"-69.72199"
"florida";"united states";"3";"41.33176";"-74.35682"
"essen";"germany";"3";"52.72258";"7.9371"
"cambridge";"united kingdom";"3";"52.2";"0.11667"
"astoria";"united states";"3";"40.22754";"-90.35957"
"marshall";"united states";"3";"42.27226";"-84.96331"
"stuttgart";"germany";"3";"48.78232";"9.17702"
"henderson";"united states";"3";"37.83615";"-87.59001"
"berkeley";"united states";"3";"41.88892";"-87.9034"
"coventry";"united kingdom";"3";"52.40656";"-1.51217"
"tokyo";"japan";"3";"35.6895";"139.69171"
"lancaster";"united states";"3";"34.72043";"-80.7709"
"denver";"united states";"3";"40.23315";"-76.13717"
"bloomington";"united states";"3";"34.07029";"-117.39588"
"muskegon";"united states";"3";"43.23418";"-86.24839"
"regina";"canada";"3";"50.45008";"-104.6178"
"milan";"italy";"3";"45.46427";"9.18951"
"hackney";"united kingdom";"3";"51.55";"-0.05"
"montgomery";"united states";"3";"39.22811";"-84.35411"
"shreveport";"united states";"3";"32.52515";"-93.75018"
"sacramento";"united states";"3";"38.58157";"-121.4944"
"newport news";"united states";"3";"37.08339";"-76.46965"
"canton";"united states";"3";"40.55809";"-90.03512"
"santa barbara";"united states";"3";"34.42083";"-119.69819"
"blackpool";"united kingdom";"3";"53.81667";"-3.05"
"chiswick";"united kingdom";"3";"51.49271";"-0.25801"
"münster";"germany";"3";"49.92278";"8.86778"
"glendale";"united states";"3";"34.14251";"-118.25508"
"albany";"united states";"3";"36.6909";"-85.13468"
"bridgeport";"united states";"3";"40.06979";"-80.74008"
"wimbledon";"united kingdom";"3";"51.42212";"-0.20805"
"santa monica";"united states";"3";"34.01949";"-118.49138"
"minneapolis";"united states";"3";"39.12194";"-97.7067"
"staten island";"united states";"3";"40.56233";"-74.13986"
"athens";"united states";"3";"41.9573";"-76.518"
"tottenham";"united kingdom";"3";"51.60373";"-0.06794"
"hollywood";"united states";"3";"32.73434";"-80.24177"
"southampton";"united kingdom";"3";"50.90395";"-1.40428"
"new haven";"united states";"3";"41.30815";"-72.92816"
"west bromwich";"united kingdom";"3";"52.51868";"-1.9945"
"rochester";"united states";"3";"40.70229";"-80.28645"
"sheffield";"united kingdom";"3";"53.38297";"-1.4659"
"salinas";"united states";"3";"36.67774";"-121.6555"
"kingston upon thames";"united kingdom";"3";"51.41259";"-0.2974"
"jamestown";"united states";"3";"39.65812";"-83.73492"
"eugene";"united states";"3";"44.05207";"-123.08675"
"bradford";"united kingdom";"3";"53.79391";"-1.75206"
"whitechapel";"united kingdom";"3";"51.51382";"-0.06583"
"springfield";"united states";"3";"42.32643";"-85.23916"
"geneva";"united states";"3";"40.59199";"-84.95719"
"san jose";"united states";"3";"37.33939";"-121.89496"
"bergen";"norway";"3";"60.39299";"5.32415"
"oklahoma city";"united states";"3";"35.46756";"-97.51643"
"vancouver";"canada";"3";"49.24966";"-123.11934"
"lafayette";"united states";"3";"40.4167";"-86.87529"
"gelsenkirchen";"germany";"3";"51.50508";"7.09654"
"holly springs";"united states";"3";"31.31573";"-89.97786"
"east orange";"united states";"2";"40.76732";"-74.20487"
"mississauga";"canada";"2";"43.5789";"-79.6583"
"smithville";"united states";"2";"39.49401";"-74.45709"
"goiás";"brazil";"2";"-15.93444";"-50.14028"
"flensburg";"germany";"2";"54.78431";"9.43961"
"grenoble";"france";"2";"45.17869";"5.71479"
"longsight";"united kingdom";"2";"53.45801";"-2.20104"
"oxford";"united kingdom";"2";"51.75222";"-1.25596"
"gilmer";"united states";"2";"32.72875";"-94.94244"
"charlotte";"united states";"2";"42.56365";"-84.83582"
"uppsala";"sweden";"2";"59.85882";"17.63889"
"alabama";"united states";"2";"43.09645";"-78.39086"
"hampton";"united states";"2";"39.42288";"-76.58469"
"brussels";"belgium";"2";"50.85045";"4.34878"
"bern";"switzerland";"2";"46.94809";"7.44744"
"trieste";"italy";"2";"45.64953";"13.77678"
