"country";"nbArtists"
"united states";"1115"
"united kingdom";"267"
"germany";"185"
"canada";"113"
"brazil";"87"
"france";"50"
"italy";"37"
"sweden";"28"
"finland";"26"
"australia";"20"
"netherlands";"16"
"norway";"11"
"ireland";"11"
"spain";"9"
"japan";"8"
"argentina";"8"
"switzerland";"8"
"mexico";"7"
"austria";"6"
"belgium";"6"
"jamaica";"5"
"new zealand";"5"
"denmark";"5"
"poland";"4"
"chile";"4"
"turkey";"4"
"portugal";"3"
"india";"3"
"estonia";"2"
"israel";"2"
"south africa";"2"
"colombia";"2"
"puerto rico";"2"
"iceland";"2"
"indonesia";"2"
"martinique";"1"
"egypt";"1"
"philippines";"1"
"czech republic";"1"
"croatia";"1"
"slovakia";"1"
"cuba";"1"
"hungary";"1"
"mali";"1"
"senegal";"1"
"trinidad and tobago";"1"
"guinea";"1"
"nigeria";"1"
"guadeloupe";"1"
