"country";"nbArtists";"latitude";"longitude"
"united states";"1054";"37.09024";"-95.712891"
"united kingdom";"285";"55.378051";"-3.435973"
"germany";"186";"51.165691";"10.451526"
"canada";"116";"56.130366";"-106.346771"
"brazil";"87";"-14.235004";"-51.92528"
"italy";"38";"41.87194";"12.56738"
"france";"34";"46.227638";"2.213749"
"sweden";"28";"60.128161";"18.643501"
"finland";"27";"61.92411";"25.748151"
"australia";"20";"-25.274398";"133.775136"
"netherlands";"17";"52.132633";"5.291266"
"ireland";"12";"53.41291";"-8.24389"
"norway";"11";"60.472024";"8.468946"
"spain";"10";"40.463667";"-3.74922"
"japan";"9";"36.204824";"138.252924"
"argentina";"9";"-38.416097";"-63.616672"
"switzerland";"7";"46.818188";"8.227512"
"mexico";"6";"23.634501";"-102.552784"
"jamaica";"6";"18.109581";"-77.297508"
"belgium";"6";"50.503887";"4.469936"
"austria";"6";"47.516231";"14.550072"
"denmark";"5";"56.26392";"9.501785"
"egypt";"5";"26.820553";"30.802498"
"poland";"4";"51.919438";"19.145136"
"new zealand";"4";"-40.900557";"174.885971"
"turkey";"4";"38.963745";"35.243322"
"portugal";"3";"39.399872";"-8.224454"
"iceland";"2";"64.963051";"-19.020835"
"estonia";"2";"58.595272";"25.013607"
"israel";"2";"31.046051";"34.851612"
"puerto rico";"2";"18.220833";"-66.590149"
"india";"2";"20.593684";"78.96288"
"indonesia";"2";"-0.789275";"113.921327"
"colombia";"2";"4.570868";"-74.297333"
"chile";"2";"-35.675147";"-71.542969"
"mali";"1";"17.570692";"-3.996166"
"hungary";"1";"47.162494";"19.503304"
"slovakia";"1";"48.669026";"19.699024"
"czech republic";"1";"49.817492";"15.472962"
"trinidad and tobago";"1";"10.691803";"-61.222503"
"guadeloupe";"1";"16.995971";"-62.067641"
"south africa";"1";"-30.559482";"22.937506"
"guinea";"1";"9.945587";"-9.696645"
"philippines";"1";"12.879721";"121.774017"
"croatia";"1";"45.1";"15.2"
"cuba";"1";"21.521757";"-77.781167"
"nigeria";"1";"9.081999";"8.675277"
"martinique";"1";"14.641528";"-61.024174"
