Nom de l'artiste,Date d'anniversaire,Titre,Genre,Date de sortie
Morgan,1972-12-23,Acidi E Basi,Alternative Rock,1995-02-09
Morgan,1972-12-23,Metallo Non Metallo,Alternative Rock,1997-01-31
Morgan,1972-12-23,Zero,New Wave,1999-10-22
Morgan,1972-12-23,Pop Tools,New Wave,2001-01-01
Blümchen,1980-04-20,Herzfrequenz,Happy Hardcore,1996-05-20
Blümchen,1980-04-20,Heartbeat,Happy Hardcore,1996-01-01
Blümchen,1980-04-20,Verliebt...,Happy Hardcore,1997-05-01
Blümchen,1980-04-20,In Love...,Happy Hardcore,1997-01-01
Blümchen,1980-04-20,Jasmin,Pop,1998-09-28
Blümchen,1980-04-20,Live In Berlin,Pop,1999-11-01
Blümchen,1980-04-20,Die Welt Gehört Dir,Pop,2000-06-26
Blümchen,1980-04-20,Für Immer Und Ewig,Pop,2000-12-04
Bo Bice,1975-11-01,The Real Thing,Southern Rock,2005-12-13
Bo Bice,1975-11-01,See The Light,Southern Rock,2007-10-23
Bo Bice,1975-11-01,3,Southern Rock,2010-05-18
Bo Burnham,1990-08-21,Bo Fo Sho,Comedy,2008-06-17
Bo Burnham,1990-08-21,Bo Burnham,Comedy,2009-03-10
Bo Burnham,1990-08-21,Words Words Words,Comedy,2010-10-19
Bo Burnham,1990-08-21,What.,Comedy,2013-11-17
Bo Diddley,1928-12-30,Bo Diddley,Rock &apos;N&apos; Roll,1957-01-01
Bo Diddley,1928-12-30,Go Bo Diddley,Rock &apos;N&apos; Roll,1959-01-01
Bo Diddley,1928-12-30,Bo Diddley Is A Gunslinger,Rock,1961-09-01
Bo Diddley,1928-12-30,"Have Guitar, Will Travel",Rock &apos;N&apos; Roll,1960-01-01
Bo Diddley,1928-12-30,Bo Diddley,Rock &apos;N&apos; Roll,1962-07-01
Bo Diddley,1928-12-30,Bo's Blues,Blues,1993-01-01
Bo Diddley,1928-12-30,His Best,Rock,1997-04-08
Rick Moranis,1953-04-18,Great White North,Comedy,1981-01-01
Bob Carlisle,1956-09-29,Bob Carlisle,Contemporary Christian,1993-01-01
Bob Carlisle,1956-09-29,The Hope Of A Man,Contemporary Christian,1994-01-01
Bob Carlisle,1956-09-29,Butterfly Kisses (Shades Of Grace),Contemporary Christian,1997-01-01
Bob Dylan,1941-05-24,Bob Dylan,Folk,1962-03-19
Bob Dylan,1941-05-24,The Freewheelin' Bob Dylan,Folk,1963-05-27
Bob Dylan,1941-05-24,The Times They Are A-Changin',Folk,1964-02-10
Bob Dylan,1941-05-24,Another Side Of Bob Dylan,Rock,1964-08-08
Bob Dylan,1941-05-24,Bringing It All Back Home,Folk Rock,1965-03-22
Bob Dylan,1941-05-24,Highway 61 Revisited,Folk Rock,1965-08-30
Bob Dylan,1941-05-24,Blonde On Blonde,Rock,1966-05-16
Bob Dylan,1941-05-24,John Wesley Harding,Rock,1967-12-27
Bob Dylan,1941-05-24,Nashville Skyline,Rock,1969-04-09
Bob Dylan,1941-05-24,Self Portrait,Rock,1970-06-08
Bob Dylan,1941-05-24,New Morning,Rock,1970-10-21
Bob Dylan,1941-05-24,Dylan,Rock,1973-11-16
Bob Dylan,1941-05-24,Planet Waves,Rock,1974-01-17
Bob Dylan,1941-05-24,Blood On The Tracks,Folk Rock,1975-01-20
Bob Dylan,1941-05-24,The Basement Tapes,Rock,1975-06-26
Bob Dylan,1941-05-24,Desire,Rock,1976-01-05
Bob Dylan,1941-05-24,Street Legal,Rock,1978-06-15
Bob Dylan,1941-05-24,Slow Train Coming,Rock,1979-08-20
Bob Dylan,1941-05-24,Saved,Rock,1980-06-19
Bob Dylan,1941-05-24,Shot Of Love,Rock,1981-08-10
Bob Dylan,1941-05-24,Infidels,Rock,1983-10-27
Bob Dylan,1941-05-24,Empire Burlesque,Rock,1985-05-30
Bob Dylan,1941-05-24,Knocked Out Loaded,Rock,1986-07-14
Bob Dylan,1941-05-24,Down In The Groove,Rock,1988-05-19
Bob Dylan,1941-05-24,Oh Mercy,Rock,1989-09-12
Bob Dylan,1941-05-24,Under The Red Sky,Rock,1990-09-10
Bob Dylan,1941-05-24,Good As I Been To You,Rock,1992-10-30
Bob Dylan,1941-05-24,World Gone Wrong,Folk,1993-10-22
Bob Dylan,1941-05-24,Time Out Of Mind,Rock,1997-09-26
Bob Dylan,1941-05-24,Love And Theft,Folk Rock,2001-09-10
Bob Dylan,1941-05-24,Modern Times,Folk Rock,2006-08-06
Bob Dylan,1941-05-24,Together Through Life,Folk Rock,2009-04-23
Bob Dylan,1941-05-24,Christmas In The Heart,Christmas,2009-10-09
Bob Dylan,1941-05-24,Tempest,Rock,2012-09-07
Bob Geldof,1951-10-05,Deep In The Heart Of Nowhere,Rock,1986-01-01
Bob Geldof,1951-10-05,The Vegetarians Of Love,Rock,1990-01-01
Bob Geldof,1951-10-05,The Happy Club,Rock,1992-10-01
Bob Geldof,1951-10-05,"Sex, Age & Death",Rock,2001-01-01
