Genre,année,Nombre d'albums
Country Rock,<1970,16
Psychedelic Rock,<1970,96
MPB,<1970,38
Blues,<1970,125
R&amp;B,<1970,85
Country,<1970,143
Progressive Rock,<1970,55
Space Rock,<1970,11
Heavy Metal,<1970,12
Tropicalismo,<1970,25
Blues Rock,<1970,31
Classic Pop,<1970,54
Soul,<1970,92
Jazz,<1970,38
Folk,<1970,132
Christmas,<1970,12
Pop Rock,<1970,55
Rock,<1970,368
Chanson,<1970,51
Pop,<1970,178
Rock &apos;N&apos; Roll,<1970,87
Funk,<1970,19
Bossa Nova,<1970,29
Hard Rock,<1970,67
Jazz Fusion,<1970,15
Folk Rock,<1970,70
Comedy,1970-1980,12
Jazz Fusion,1970-1980,43
Jazz,1970-1980,22
Chanson,1970-1980,50
Country,1970-1980,229
Southern Rock,1970-1980,71
Space Rock,1970-1980,59
Country Rock,1970-1980,41
Soft Rock,1970-1980,51
Soul,1970-1980,143
Rock,1970-1980,930
Funk,1970-1980,44
Reggae,1970-1980,61
Rock &apos;N&apos; Roll,1970-1980,22
Folk Rock,1970-1980,112
Hard Rock,1970-1980,369
Pop Punk,1970-1980,21
Folk,1970-1980,194
RIO,1970-1980,40
Samba,1970-1980,16
Schlager,1970-1980,14
Heavy Metal,1970-1980,166
Ska,1970-1980,30
R&amp;B,1970-1980,127
Electronic,1970-1980,16
Punk Rock,1970-1980,28
Power Pop,1970-1980,31
Psychedelic Rock,1970-1980,38
Disco,1970-1980,60
Progressive Rock,1970-1980,375
Canterbury,1970-1980,24
Glam Rock,1970-1980,27
Krautrock,1970-1980,22
New Wave,1970-1980,47
Post-Punk,1970-1980,20
Austropop,1970-1980,13
Pop Rock,1970-1980,122
MPB,1970-1980,69
Pop,1970-1980,432
Blues,1970-1980,83
Blues Rock,1970-1980,33
Latin Pop,1970-1980,28
Tropicalismo,1970-1980,13
Pop,1980-1990,582
East Coast Hip Hop,1980-1990,23
Vocal,1980-1990,16
Punk Rock,1980-1990,120
Austropop,1980-1990,37
Grunge,1980-1990,41
Soft Rock,1980-1990,29
Post-Punk,1980-1990,124
Thrash Metal,1980-1990,96
Rock &apos;N&apos; Roll,1980-1990,17
Deutschrock,1980-1990,12
Pop Rock,1980-1990,246
French Pop,1980-1990,24
Indie Rock,1980-1990,41
Death Metal,1980-1990,29
Dark Wave,1980-1990,24
Folk Rock,1980-1990,102
Horror Punk,1980-1990,30
Alternative Metal,1980-1990,26
Latin,1980-1990,16
Alternative Rock,1980-1990,115
Schlager,1980-1990,18
Hardcore Punk,1980-1990,14
New Jack Swing,1980-1990,12
Folk,1980-1990,168
Shoegazing,1980-1990,24
Post-Hardcore,1980-1990,20
Black Metal,1980-1990,14
Heavy Metal,1980-1990,294
Ska,1980-1990,82
R&amp;B,1980-1990,205
Celtic,1980-1990,21
Hip Hop,1980-1990,74
Hard Rock,1980-1990,552
Electronic,1980-1990,37
New Wave,1980-1990,291
Jazz-Funk,1980-1990,24
Soul,1980-1990,34
Dance-Pop,1980-1990,18
Blues,1980-1990,56
J-Rock,1980-1990,12
Rock,1980-1990,1126
Synthpop,1980-1990,226
Progressive Metal,1980-1990,49
Latin Rock,1980-1990,29
Contemporary Christian,1980-1990,25
Reggae,1980-1990,37
Grindcore,1980-1990,18
Blues Rock,1980-1990,25
Chanson,1980-1990,58
Funk,1980-1990,32
Country,1980-1990,219
Brazilian Rock,1980-1990,24
Space Rock,1980-1990,44
Gangsta Rap,1980-1990,19
Bluegrass,1980-1990,26
Industrial,1980-1990,65
Jazz,1980-1990,57
